"filename", "language", "Dart", "YAML", "Markdown", "Ruby", "C++", "Swift", "XML", "Gradle", "Java Properties", "Objective-C", "CMake", "JSON", "HTML", "Java", "Kotlin", "PowerShell", "Kotlinscript", "comment", "blank", "total"
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\enums\chatlist_filter.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\enums\media_type.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\models\chat_model.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 78
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\models\chat_model.g.dart", "Dart", 1525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 157, 1688
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\models\media_model.dart", "Dart", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 24, 180
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\models\media_model.g.dart", "Dart", 1899, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 194, 2099
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\models\message_model.dart", "Dart", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 74
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\models\message_model.g.dart", "Dart", 778, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 84, 868
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\models\settings_model.dart", "Dart", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 75
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\models\settings_model.g.dart", "Dart", 426, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54, 486
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\models\user_model.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\models\user_model.g.dart", "Dart", 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64, 665
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Camera\camera_grid_overlay.dart", "Dart", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 44
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Camera\camera_mode_selector.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 55
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Camera\camera_screen.dart", "Dart", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 143
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Camera\camera_tool_panel.dart", "Dart", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 201
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_Detail\chat_detail_base_state.dart", "Dart", 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 34, 308
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_Detail\chat_detail_notifier.dart", "Dart", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 29, 159
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_Detail\chat_detail_screen.dart", "Dart", 365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 23, 409
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_Detail\screens\chat_detail_screen_divided.dart", "Dart", 422, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 31, 482
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_Detail\screens\chat_media_screen.dart", "Dart", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 208
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_Detail\widgets\info_bottom_sheet.dart", "Dart", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 115
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_Forward\chat_forward_screen.dart", "Dart", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 93
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_Forward\notifier\selected_chat_notifier.dart", "Dart", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 79
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_Forward\widgets\blurred_appbar.dart", "Dart", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 78
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_Forward\widgets\expanding_searchbar.dart", "Dart", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 19, 203
